"Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id"
"YMR236W","Taf9p","PF02291","27","151","Pfam","1978161"
"YMR236W","Taf9p","PTHR12595","10","155","PANTHER","1978162"
"YMR236W","Taf9p","PTHR12595:SF9","10","155","PANTHER","1978163"
"YMR236W","Taf9p","SSF47113","30","101","SUPERFAMILY","1978164"
"YMR237W","Bch1p","G3DSA:1.25.40.10","242","627","GENE3D","1978165"
"YMR237W","Bch1p","PF09295","85","511","Pfam","1978166"
"YMR237W","Bch1p","PTHR31975","1","724","PANTHER","1978167"
"YMR237W","Bch1p","PTHR31975:SF4","1","724","PANTHER","1978168"
"YMR238W","Dfg5p","G3DSA:1.50.10.10","26","453","GENE3D","1978169"
"YMR238W","Dfg5p","PF03663","36","402","Pfam","1978170"
"YMR238W","Dfg5p","PIRSF016302","1","458","PIRSF","1978171"
"YMR238W","Dfg5p","PTHR12145","11","458","PANTHER","1978172"
"YMR238W","Dfg5p","PTHR12145:SF31","11","458","PANTHER","1978173"
"YMR238W","Dfg5p","SSF48208","55","391","SUPERFAMILY","1978174"
"YMR239C","Rnt1p","G3DSA:1.10.1520.10","194","356","GENE3D","1975073"
"YMR239C","Rnt1p","G3DSA:3.30.160.20","361","443","GENE3D","1975074"
"YMR239C","Rnt1p","PF00035","370","433","Pfam","1975075"
"YMR239C","Rnt1p","PF00636","238","327","Pfam","1975076"
"YMR239C","Rnt1p","PS00517","238","246","PROSITE","1975077"
"YMR239C","Rnt1p","PS50137","369","437","PROSITE","1975078"
"YMR239C","Rnt1p","PS50142","227","331","PROSITE","1975079"
"YMR239C","Rnt1p","PTHR11207","2","464","PANTHER","1975080"
"YMR239C","Rnt1p","PTHR11207:SF13","2","464","PANTHER","1975081"
"YMR239C","Rnt1p","SM00358","370","436","SMART","1975082"
"YMR239C","Rnt1p","SM00535","220","355","SMART","1975083"
"YMR239C","Rnt1p","SSF54768","365","452","SUPERFAMILY","1975084"
"YMR239C","Rnt1p","SSF69065","205","355","SUPERFAMILY","1975085"
"YMR240C","Cus1p","PF04037","143","275","Pfam","1975068"
"YMR240C","Cus1p","PF04046","290","335","Pfam","1975069"
"YMR240C","Cus1p","PTHR12785","4","435","PANTHER","1975070"
"YMR240C","Cus1p","PTHR12785:SF9","4","435","PANTHER","1975071"
"YMR240C","Cus1p","SM00581","286","339","SMART","1975072"
"YMR241W","Yhm2p","G3DSA:1.50.40.10","106","313","GENE3D","1976876"
"YMR241W","Yhm2p","PF00153","22","90","Pfam","1976877"
"YMR241W","Yhm2p","PF00153","110","198","Pfam","1976878"
"YMR241W","Yhm2p","PF00153","213","303","Pfam","1976879"
"YMR241W","Yhm2p","PS50920","18","100","PROSITE","1976880"
"YMR241W","Yhm2p","PS50920","107","199","PROSITE","1976881"
"YMR241W","Yhm2p","PS50920","217","301","PROSITE","1976882"
"YMR241W","Yhm2p","PTHR24089","15","300","PANTHER","1976883"
"YMR241W","Yhm2p","PTHR24089:SF505","15","300","PANTHER","1976884"
"YMR241W","Yhm2p","SSF103506","16","294","SUPERFAMILY","1976885"
"YMR242C","Rpl20Ap","G3DSA:3.10.20.10","5","71","GENE3D","1944353"
"YMR242C","Rpl20Ap","G3DSA:3.10.20.10","72","145","GENE3D","1944354"
"YMR242C","Rpl20Ap","MF_00273","27","127","HAMAP","1944355"
"YMR242C","Rpl20Ap","PF01775","5","127","Pfam","1944356"
"YMR242C","Rpl20Ap","PIRSF002190","1","172","PIRSF","1944357"
"YMR242C","Rpl20Ap","PTHR10052","2","172","PANTHER","1944358"
"YMR242C","Rpl20Ap","PTHR10052:SF20","2","172","PANTHER","1944359"
"YMR242C","Rpl20Ap","SSF160374","69","144","SUPERFAMILY","1944360"
"YMR243C","Zrc1p","G3DSA:1.20.1510.10","5","295","GENE3D","1948072"
"YMR243C","Zrc1p","G3DSA:3.30.70.1350","297","375","GENE3D","1948073"
"YMR243C","Zrc1p","PF01545","13","295","Pfam","1948074"
"YMR243C","Zrc1p","PTHR11562","5","437","PANTHER","1948075"
"YMR243C","Zrc1p","PTHR11562:SF72","5","437","PANTHER","1948076"
"YMR243C","Zrc1p","SSF160240","302","374","SUPERFAMILY","1948077"
"YMR243C","Zrc1p","SSF161111","7","136","SUPERFAMILY","1948078"
"YMR243C","Zrc1p","SSF161111","225","296","SUPERFAMILY","1948079"
"YMR243C","Zrc1p","TIGR01297","10","372","TIGRFAM","1948080"
"YMR244C-A","Coa6p","G3DSA:1.10.10.140","8","89","GENE3D","1985120"
"YMR244C-A","Coa6p","PF02297","16","91","Pfam","1985121"
"YMR244C-A","Coa6p","PS51808","22","76","PROSITE","1985122"
"YMR244C-A","Coa6p","PTHR11387","11","102","PANTHER","1985123"
"YMR244C-A","Coa6p","PTHR11387:SF22","11","102","PANTHER","1985124"
"YMR244C-A","Coa6p","SSF47694","17","81","SUPERFAMILY","1985125"
"YMR244W","Ymr244Wp","PF03856","48","304","Pfam","1976886"
"YMR244W","Ymr244Wp","PTHR31654","32","326","PANTHER","1976887"
"YMR246W","Faa4p","G3DSA:2.30.38.10","466","549","GENE3D","1969616"
"YMR246W","Faa4p","G3DSA:3.30.300.30","551","692","GENE3D","1969617"
"YMR246W","Faa4p","G3DSA:3.40.50.980","66","271","GENE3D","1969618"
"YMR246W","Faa4p","G3DSA:3.40.50.980","272","465","GENE3D","1969619"
"YMR246W","Faa4p","PF00501","84","556","Pfam","1969620"
"YMR246W","Faa4p","PS00455","267","278","PROSITE","1969621"
"YMR246W","Faa4p","PTHR43272","5","691","PANTHER","1969622"
"YMR246W","Faa4p","PTHR43272:SF16","5","691","PANTHER","1969623"
"YMR246W","Faa4p","SSF56801","92","378","SUPERFAMILY","1969624"
"YMR246W","Faa4p","SSF56801","415","598","SUPERFAMILY","1969625"
"YMR246W","Faa4p","SSF56801","631","691","SUPERFAMILY","1969626"
"YMR247C","Rkr1p","G3DSA:1.25.10.10","20","1297","GENE3D","1977912"
"YMR247C","Rkr1p","G3DSA:3.30.40.10","1408","1562","GENE3D","1977913"
"YMR247C","Rkr1p","PF13639","1507","1555","Pfam","1977914"
"YMR247C","Rkr1p","PS50089","1508","1555","PROSITE","1977915"
"YMR247C","Rkr1p","PTHR12389","18","1558","PANTHER","1977916"
"YMR247C","Rkr1p","PTHR12389:SF1","18","1558","PANTHER","1977917"
"YMR247C","Rkr1p","SM00744","1507","1555","SMART","1977918"
"YMR247C","Rkr1p","SM01197","1504","1561","SMART","1977919"
"YMR247C","Rkr1p","SSF48371","34","342","SUPERFAMILY","1977920"
"YMR247C","Rkr1p","SSF48371","1003","1162","SUPERFAMILY","1977921"
"YMR247C","Rkr1p","SSF48371","1334","1394","SUPERFAMILY","1977922"
"YMR247C","Rkr1p","SSF57850","1507","1560","SUPERFAMILY","1977923"
"YMR250W","Gad1p","G3DSA:3.40.640.10","94","373","GENE3D","1977924"
"YMR250W","Gad1p","G3DSA:3.90.1150.10","374","522","GENE3D","1977925"
"YMR250W","Gad1p","PF00282","70","412","Pfam","1977926"
"YMR250W","Gad1p","PTHR43321","43","540","PANTHER","1977927"
"YMR250W","Gad1p","PTHR43321:SF1","43","540","PANTHER","1977928"
"YMR250W","Gad1p","SSF53383","55","521","SUPERFAMILY","1977929"
"YMR250W","Gad1p","TIGR01788","51","521","TIGRFAM","1977930"
"YMR251W","Gto3p","G3DSA:1.20.1050.10","214","365","GENE3D","1977931"
"YMR251W","Gto3p","G3DSA:3.40.30.10","20","213","GENE3D","1977932"
"YMR251W","Gto3p","PF13409","46","179","Pfam","1977933"
"YMR251W","Gto3p","PF13410","229","320","Pfam","1977934"
"YMR251W","Gto3p","PIRSF015753","1","366","PIRSF","1977935"
"YMR251W","Gto3p","PS50405","197","349","PROSITE","1977936"
"YMR251W","Gto3p","PTHR32419","6","362","PANTHER","1977937"
"YMR251W","Gto3p","PTHR32419:SF25","6","362","PANTHER","1977938"
"YMR251W","Gto3p","SSF47616","190","347","SUPERFAMILY","1977939"
"YMR251W","Gto3p","SSF52833","29","82","SUPERFAMILY","1977940"
"YMR251W","Gto3p","SSF52833","147","177","SUPERFAMILY","1977941"
"YMR253C","Ymr253Cp","PF00892","102","214","Pfam","1977942"
"YMR253C","Ymr253Cp","PF00892","246","378","Pfam","1977943"
"YMR253C","Ymr253Cp","PTHR22911","50","382","PANTHER","1977944"
"YMR253C","Ymr253Cp","PTHR22911:SF76","50","382","PANTHER","1977945"
"YMR253C","Ymr253Cp","SSF103481","139","217","SUPERFAMILY","1977946"
"YMR253C","Ymr253Cp","SSF103481","298","379","SUPERFAMILY","1977947"
"YMR255W","Gfd1p","PD098974","9","182","ProDom","1977948"
"YMR255W","Gfd1p","PF17331","129","187","Pfam","1977949"
"YMR256C","Cox7p","G3DSA:4.10.91.10","2","50","GENE3D","1944869"
"YMR256C","Cox7p","PD052427","3","60","ProDom","1944870"
"YMR256C","Cox7p","PF02238","3","54","Pfam","1944871"
"YMR256C","Cox7p","PIRSF000282","1","60","PIRSF","1944872"
"YMR257C","Pet111p","G3DSA:1.25.40.10","139","699","GENE3D","1943116"
"YMR258C","Roy1p","G3DSA:3.80.10.10","8","545","GENE3D","1977950"
"YMR259C","Trm732p","G3DSA:1.25.10.10","45","510","GENE3D","1976170"
"YMR259C","Trm732p","G3DSA:1.25.10.10","592","1085","GENE3D","1976171"
"YMR259C","Trm732p","G3DSA:1.25.10.10","1096","1312","GENE3D","1976172"
"YMR259C","Trm732p","PF10350","615","839","Pfam","1976173"
"YMR259C","Trm732p","PTHR14387","8","1395","PANTHER","1976174"
"YMR259C","Trm732p","PTHR14387:SF3","8","1395","PANTHER","1976175"
"YMR259C","Trm732p","SSF48371","1157","1403","SUPERFAMILY","1976176"
"YMR260C","Tif11p","G3DSA:2.40.50.140","2","153","GENE3D","1962261"
"YMR260C","Tif11p","MF_00216","16","110","HAMAP","1962262"
"YMR260C","Tif11p","PD005579","53","109","ProDom","1962263"
"YMR260C","Tif11p","PF01176","32","94","Pfam","1962264"
"YMR260C","Tif11p","PS01262","41","63","PROSITE","1962265"
"YMR260C","Tif11p","PS50832","22","96","PROSITE","1962266"
"YMR260C","Tif11p","PTHR21668","1","153","PANTHER","1962267"
"YMR260C","Tif11p","PTHR21668:SF9","1","153","PANTHER","1962268"
"YMR260C","Tif11p","SM00652","28","110","SMART","1962269"
"YMR260C","Tif11p","SSF50249","4","142","SUPERFAMILY","1962270"
"YMR260C","Tif11p","TIGR00523","14","111","TIGRFAM","1962271"
"YMR261C","Tps3p","G3DSA:3.40.50.2000","302","559","GENE3D","1960377"
"YMR261C","Tps3p","G3DSA:3.40.50.2000","560","749","GENE3D","1960378"
"YMR261C","Tps3p","PF00982","288","764","Pfam","1960379"
"YMR261C","Tps3p","PF02358","785","1010","Pfam","1960380"
"YMR261C","Tps3p","PTHR10788","9","1052","PANTHER","1960381"
"YMR261C","Tps3p","PTHR10788:SF69","9","1052","PANTHER","1960382"
"YMR261C","Tps3p","SSF53756","309","768","SUPERFAMILY","1960383"
"YMR261C","Tps3p","SSF56784","804","933","SUPERFAMILY","1960384"
"YMR262W","Ymr262Wp","G3DSA:3.20.20.140","1","307","GENE3D","1960399"
"YMR262W","Ymr262Wp","PF01026","5","303","Pfam","1960400"
"YMR262W","Ymr262Wp","PIRSF005902","1","312","PIRSF","1960401"
"YMR262W","Ymr262Wp","PS01091","248","264","PROSITE","1960402"
"YMR262W","Ymr262Wp","PTHR10060","2","312","PANTHER","1960403"
"YMR262W","Ymr262Wp","PTHR10060:SF35","2","312","PANTHER","1960404"
"YMR262W","Ymr262Wp","SSF51556","3","74","SUPERFAMILY","1960405"
"YMR262W","Ymr262Wp","SSF51556","108","311","SUPERFAMILY","1960406"
"YMR263W","Sap30p","PF13867","153","189","Pfam","1960396"
"YMR263W","Sap30p","PTHR13286","17","200","PANTHER","1960397"
"YMR263W","Sap30p","PTHR13286:SF11","17","200","PANTHER","1960398"
"YMR264W","Cue1p","PF02845","67","105","Pfam","1960393"
"YMR264W","Cue1p","PS51140","65","107","PROSITE","1960394"
"YMR264W","Cue1p","SM00546","65","106","SMART","1960395"
"YMR265C","Ymr265Cp","PF10307","59","253","Pfam","1976197"
"YMR265C","Ymr265Cp","PTHR42677","1","457","PANTHER","1976198"
"YMR265C","Ymr265Cp","PTHR42677:SF1","1","457","PANTHER","1976199"
"YMR266W","Rsn1p","PF02714","389","660","Pfam","1976200"
"YMR266W","Rsn1p","PF12621","819","912","Pfam","1976201"
"YMR266W","Rsn1p","PF13967","23","171","Pfam","1976202"
"YMR266W","Rsn1p","PF14703","194","376","Pfam","1976203"
"YMR266W","Rsn1p","PTHR13018","16","909","PANTHER","1976204"
"YMR266W","Rsn1p","PTHR13018:SF77","16","909","PANTHER","1976205"
"YMR267W","Ppa2p","G3DSA:3.90.80.10","33","310","GENE3D","1951797"
"YMR267W","Ppa2p","PF00719","78","264","Pfam","1951798"
"YMR267W","Ppa2p","PS00387","152","158","PROSITE","1951799"
"YMR267W","Ppa2p","PTHR10286","1","310","PANTHER","1951800"
"YMR267W","Ppa2p","PTHR10286:SF23","1","310","PANTHER","1951801"
"YMR267W","Ppa2p","SSF50324","34","310","SUPERFAMILY","1951802"
"YMR268C","Prp24p","G3DSA:3.30.70.330","24","112","GENE3D","1970190"
"YMR268C","Prp24p","G3DSA:3.30.70.330","113","201","GENE3D","1970191"
"YMR268C","Prp24p","G3DSA:3.30.70.330","202","292","GENE3D","1970192"
"YMR268C","Prp24p","G3DSA:3.30.70.330","318","438","GENE3D","1970193"
"YMR268C","Prp24p","PF00076","43","109","Pfam","1970194"
"YMR268C","Prp24p","PF00076","119","188","Pfam","1970195"
"YMR268C","Prp24p","PF00076","212","282","Pfam","1970196"
"YMR268C","Prp24p","PF05391","425","443","Pfam","1970197"
"YMR268C","Prp24p","PF16842","312","392","Pfam","1970198"
"YMR268C","Prp24p","PS50102","41","116","PROSITE","1970199"
"YMR268C","Prp24p","PS50102","117","195","PROSITE","1970200"
"YMR268C","Prp24p","PS50102","210","289","PROSITE","1970201"
"YMR268C","Prp24p","PTHR10352","208","290","PANTHER","1970202"
"YMR268C","Prp24p","SM00360","42","112","SMART","1970203"
"YMR268C","Prp24p","SM00360","118","191","SMART","1970204"
"YMR268C","Prp24p","SM00360","211","285","SMART","1970205"
"YMR268C","Prp24p","SM00360","313","385","SMART","1970206"
"YMR268C","Prp24p","SSF54928","41","112","SUPERFAMILY","1970207"
"YMR268C","Prp24p","SSF54928","116","291","SUPERFAMILY","1970208"
"YMR269W","Tma23p","PTHR23149","1","208","PANTHER","1976206"
"YMR269W","Tma23p","PTHR23149:SF14","1","208","PANTHER","1976207"
"YMR270C","Rrn9p","PF10680","47","111","Pfam","1972459"
"YMR271C","Ura10p","G3DSA:3.40.50.2020","8","208","GENE3D","1952321"
"YMR271C","Ura10p","MF_01208","1","227","HAMAP","1952322"
"YMR271C","Ura10p","PF00156","51","169","Pfam","1952323"
"YMR271C","Ura10p","PTHR19278","9","227","PANTHER","1952324"
"YMR271C","Ura10p","PTHR19278:SF44","9","227","PANTHER","1952325"
"YMR271C","Ura10p","SSF53271","10","207","SUPERFAMILY","1952326"
"YMR271C","Ura10p","TIGR00336","17","201","TIGRFAM","1952327"
"YMR272C","Scs7p","G3DSA:3.10.120.10","5","97","GENE3D","1976208"
"YMR272C","Scs7p","PF00173","14","90","Pfam","1976209"
"YMR272C","Scs7p","PF04116","229","370","Pfam","1976210"
"YMR272C","Scs7p","PIRSF005149","2","384","PIRSF","1976211"
"YMR272C","Scs7p","PR00363","35","45","PRINTS","1976212"
"YMR272C","Scs7p","PR00363","45","59","PRINTS","1976213"
"YMR272C","Scs7p","PS00191","41","48","PROSITE","1976214"
"YMR272C","Scs7p","PS50255","9","90","PROSITE","1976215"
"YMR272C","Scs7p","PTHR12863","6","371","PANTHER","1976216"
"YMR272C","Scs7p","SM01117","12","90","SMART","1976217"
"YMR272C","Scs7p","SSF55856","6","95","SUPERFAMILY","1976218"
"YMR273C","Zds1p","PF08632","843","893","Pfam","1970403"
"YMR273C","Zds1p","PTHR28089","2","914","PANTHER","1970404"
"YMR273C","Zds1p","SM01327","841","893","SMART","1970405"
"YMR274C","Rce1p","PF02517","142","254","Pfam","1976219"
"YMR274C","Rce1p","PTHR13046","4","307","PANTHER","1976220"
"YMR274C","Rce1p","PTHR13046:SF2","4","307","PANTHER","1976221"
"YMR275C","Bul1p","PD024065","687","972","ProDom","1969837"
"YMR275C","Bul1p","PF04425","112","542","Pfam","1969838"
"YMR275C","Bul1p","PF04426","690","973","Pfam","1969839"
"YMR275C","Bul1p","PTHR31904","22","973","PANTHER","1969840"
"YMR275C","Bul1p","PTHR31904:SF2","22","973","PANTHER","1969841"
"YMR276W","Dsk2p","G3DSA:1.10.8.10","327","370","GENE3D","1969822"
"YMR276W","Dsk2p","G3DSA:3.10.20.90","1","91","GENE3D","1969823"
"YMR276W","Dsk2p","PF00240","5","74","Pfam","1969824"
"YMR276W","Dsk2p","PF00627","332","368","Pfam","1969825"
"YMR276W","Dsk2p","PS00299","28","53","PROSITE","1969826"
"YMR276W","Dsk2p","PS50030","327","371","PROSITE","1969827"
"YMR276W","Dsk2p","PS50053","1","77","PROSITE","1969828"
"YMR276W","Dsk2p","PTHR10677","104","372","PANTHER","1969829"
"YMR276W","Dsk2p","PTHR10677:SF34","104","372","PANTHER","1969830"
"YMR276W","Dsk2p","SM00165","332","370","SMART","1969831"
"YMR276W","Dsk2p","SM00213","3","73","SMART","1969832"
"YMR276W","Dsk2p","SM00727","147","187","SMART","1969833"
"YMR276W","Dsk2p","SM00727","188","228","SMART","1969834"
"YMR276W","Dsk2p","SSF46934","328","371","SUPERFAMILY","1969835"
"YMR276W","Dsk2p","SSF54236","3","87","SUPERFAMILY","1969836"
"YMR277W","Fcp1p","G3DSA:3.40.50.1000","160","500","GENE3D","1975921"
"YMR277W","Fcp1p","G3DSA:3.40.50.10190","501","705","GENE3D","1975922"
"YMR277W","Fcp1p","PF00533","500","580","Pfam","1975923"
"YMR277W","Fcp1p","PF03031","176","345","Pfam","1975924"
"YMR277W","Fcp1p","PS50172","499","593","PROSITE","1975925"
"YMR277W","Fcp1p","PS50969","170","363","PROSITE","1975926"
"YMR277W","Fcp1p","PTHR23081","19","721","PANTHER","1975927"
"YMR277W","Fcp1p","PTHR23081:SF15","19","721","PANTHER","1975928"
"YMR277W","Fcp1p","SM00292","501","583","SMART","1975929"
"YMR277W","Fcp1p","SM00577","173","349","SMART","1975930"
"YMR277W","Fcp1p","SSF52113","503","593","SUPERFAMILY","1975931"
"YMR277W","Fcp1p","SSF56784","169","209","SUPERFAMILY","1975932"
"YMR277W","Fcp1p","SSF56784","243","358","SUPERFAMILY","1975933"
"YMR277W","Fcp1p","TIGR02250","169","345","TIGRFAM","1975934"
"YMR278W","Prm15p","G3DSA:3.30.310.50","496","605","GENE3D","1975935"
"YMR278W","Prm15p","G3DSA:3.40.120.10","40","231","GENE3D","1975936"
"YMR278W","Prm15p","G3DSA:3.40.120.10","232","359","GENE3D","1975937"
"YMR278W","Prm15p","G3DSA:3.40.120.10","360","479","GENE3D","1975938"
"YMR278W","Prm15p","PF00408","568","596","Pfam","1975939"
"YMR278W","Prm15p","PF02878","53","192","Pfam","1975940"
"YMR278W","Prm15p","PF02879","227","334","Pfam","1975941"
"YMR278W","Prm15p","PF02880","348","457","Pfam","1975942"
"YMR278W","Prm15p","PS00710","152","161","PROSITE","1975943"
"YMR278W","Prm15p","PTHR22573","12","611","PANTHER","1975944"
"YMR278W","Prm15p","PTHR22573:SF61","12","611","PANTHER","1975945"
"YMR278W","Prm15p","SSF53738","41","230","SUPERFAMILY","1975946"
"YMR278W","Prm15p","SSF53738","245","337","SUPERFAMILY","1975947"
"YMR278W","Prm15p","SSF53738","326","480","SUPERFAMILY","1975948"
"YMR278W","Prm15p","SSF55957","567","605","SUPERFAMILY","1975949"
"YMR279C","Ymr279Cp","G3DSA:1.20.1250.20","58","256","GENE3D","1975950"
"YMR279C","Ymr279Cp","G3DSA:1.20.1250.20","257","320","GENE3D","1975951"
"YMR279C","Ymr279Cp","G3DSA:1.20.1250.20","328","539","GENE3D","1975952"
"YMR279C","Ymr279Cp","PF07690","77","477","Pfam","1975953"
"YMR279C","Ymr279Cp","PS50850","72","526","PROSITE","1975954"
"YMR279C","Ymr279Cp","PTHR42718","1","539","PANTHER","1975955"
"YMR279C","Ymr279Cp","PTHR42718:SF8","1","539","PANTHER","1975956"
"YMR279C","Ymr279Cp","SSF103473","63","262","SUPERFAMILY","1975957"
"YMR279C","Ymr279Cp","SSF103473","316","532","SUPERFAMILY","1975958"
"YMR280C","Cat8p","G3DSA:4.10.240.10","63","125","GENE3D","1963156"
"YMR280C","Cat8p","PF00172","68","104","Pfam","1963157"
"YMR280C","Cat8p","PF04082","403","692","Pfam","1963158"
"YMR280C","Cat8p","PS00463","69","97","PROSITE","1963159"
"YMR280C","Cat8p","PS50048","69","99","PROSITE","1963160"
"YMR280C","Cat8p","PTHR31001","1","1419","PANTHER","1963161"
"YMR280C","Cat8p","PTHR31001:SF82","1","1419","PANTHER","1963162"
"YMR280C","Cat8p","SM00066","64","108","SMART","1963163"
"YMR280C","Cat8p","SM00906","541","621","SMART","1963164"
"YMR280C","Cat8p","SSF57701","60","105","SUPERFAMILY","1963165"
"YMR281W","Gpi12p","G3DSA:3.40.50.10320","56","304","GENE3D","1949636"
"YMR281W","Gpi12p","PF02585","59","185","Pfam","1949637"
"YMR281W","Gpi12p","PTHR12993","15","302","PANTHER","1949638"
"YMR281W","Gpi12p","PTHR12993:SF17","15","302","PANTHER","1949639"
"YMR281W","Gpi12p","SSF102588","59","299","SUPERFAMILY","1949640"
"YMR282C","Aep2p","G3DSA:1.25.40.10","138","477","GENE3D","1948789"
"YMR282C","Aep2p","PF12921","318","426","Pfam","1948790"
"YMR283C","Rit1p","PF04179","403","512","Pfam","1949632"
"YMR283C","Rit1p","PF17184","35","318","Pfam","1949633"
"YMR283C","Rit1p","PIRSF007747","10","513","PIRSF","1949634"
"YMR283C","Rit1p","PTHR31811","17","513","PANTHER","1949635"
"YMR284W","Yku70p","G3DSA:1.10.1600.10","459","581","GENE3D","1955000"
"YMR284W","Yku70p","G3DSA:2.40.290.10","264","458","GENE3D","1955001"
"YMR284W","Yku70p","G3DSA:3.40.50.410","29","256","GENE3D","1955002"
"YMR284W","Yku70p","PF02735","279","468","Pfam","1955003"
"YMR284W","Yku70p","PF03730","494","558","Pfam","1955004"
"YMR284W","Yku70p","PF03731","32","267","Pfam","1955005"
"YMR284W","Yku70p","PIRSF003033","1","602","PIRSF","1955006"
"YMR284W","Yku70p","PTHR12604","13","544","PANTHER","1955007"
"YMR284W","Yku70p","PTHR12604:SF6","13","544","PANTHER","1955008"
"YMR284W","Yku70p","SM00559","323","466","SMART","1955009"
"YMR284W","Yku70p","SSF100939","265","574","SUPERFAMILY","1955010"
"YMR284W","Yku70p","SSF53300","29","233","SUPERFAMILY","1955011"
"YMR285C","Ngl2p","G3DSA:3.60.10.10","108","515","GENE3D","1975959"
"YMR285C","Ngl2p","PF03372","115","458","Pfam","1975960"
"YMR285C","Ngl2p","PTHR12121","55","513","PANTHER","1975961"
"YMR285C","Ngl2p","PTHR12121:SF54","55","513","PANTHER","1975962"
"YMR285C","Ngl2p","SSF56219","95","326","SUPERFAMILY","1975963"
"YMR285C","Ngl2p","SSF56219","421","451","SUPERFAMILY","1975964"
"YMR285C","Ngl2p","SSF56219","487","514","SUPERFAMILY","1975965"
"YMR286W","Mrpl33p","G3DSA:3.30.1390.20","4","58","GENE3D","1948050"
"YMR286W","Mrpl33p","PF00327","4","54","Pfam","1948051"
"YMR286W","Mrpl33p","PS00634","22","54","PROSITE","1948052"
"YMR286W","Mrpl33p","PTHR15892","3","64","PANTHER","1948053"
"YMR286W","Mrpl33p","PTHR15892:SF3","3","64","PANTHER","1948054"
"YMR286W","Mrpl33p","SSF55129","2","57","SUPERFAMILY","1948055"
"YMR286W","Mrpl33p","TIGR01308","4","57","TIGRFAM","1948056"
"YMR287C","Dss1p","PF00773","522","854","Pfam","1963150"
"YMR287C","Dss1p","PS01175","821","845","PROSITE","1963151"
"YMR287C","Dss1p","PTHR23355","7","968","PANTHER","1963152"
"YMR287C","Dss1p","PTHR23355:SF50","7","968","PANTHER","1963153"
"YMR287C","Dss1p","SM00955","522","854","SMART","1963154"
"YMR287C","Dss1p","SSF50249","473","896","SUPERFAMILY","1963155"
"YMR288W","Hsh155p","G3DSA:1.25.10.10","141","738","GENE3D","1970173"
"YMR288W","Hsh155p","G3DSA:1.25.10.10","739","958","GENE3D","1970174"
"YMR288W","Hsh155p","PTHR12097","123","970","PANTHER","1970175"
"YMR288W","Hsh155p","SSF48371","201","770","SUPERFAMILY","1970176"
"YMR288W","Hsh155p","SSF48371","808","954","SUPERFAMILY","1970177"
"YMR289W","Abz2p","G3DSA:3.20.10.10","222","374","GENE3D","1975966"
"YMR289W","Abz2p","G3DSA:3.30.470.10","16","196","GENE3D","1975967"
"YMR289W","Abz2p","PF01063","112","367","Pfam","1975968"
"YMR289W","Abz2p","PTHR11825","1","373","PANTHER","1975969"
"YMR289W","Abz2p","PTHR11825:SF62","1","373","PANTHER","1975970"
"YMR289W","Abz2p","SSF56752","117","366","SUPERFAMILY","1975971"
"YMR290C","Has1p","G3DSA:3.40.50.300","3","267","GENE3D","1976222"
"YMR290C","Has1p","G3DSA:3.40.50.300","268","491","GENE3D","1976223"
"YMR290C","Has1p","PF00270","66","238","Pfam","1976224"
"YMR290C","Has1p","PF00271","279","383","Pfam","1976225"
"YMR290C","Has1p","PF13959","425","485","Pfam","1976226"
"YMR290C","Has1p","PS00039","194","202","PROSITE","1976227"
"YMR290C","Has1p","PS51192","73","249","PROSITE","1976228"
"YMR290C","Has1p","PS51194","263","433","PROSITE","1976229"
"YMR290C","Has1p","PS51195","42","70","PROSITE","1976230"
"YMR290C","Has1p","PTHR24031","31","500","PANTHER","1976231"
"YMR290C","Has1p","PTHR24031:SF496","31","500","PANTHER","1976232"
"YMR290C","Has1p","SM00487","61","267","SMART","1976233"
"YMR290C","Has1p","SM00490","303","384","SMART","1976234"
"YMR290C","Has1p","SM01178","424","487","SMART","1976235"
"YMR290C","Has1p","SSF52540","114","405","SUPERFAMILY","1976236"
"YMR291W","Tda1p","G3DSA:1.10.510.10","166","362","GENE3D","1976237"
"YMR291W","Tda1p","G3DSA:3.30.200.20","2","165","GENE3D","1976238"
"YMR291W","Tda1p","PF00069","41","351","Pfam","1976239"
"YMR291W","Tda1p","PS00107","45","72","PROSITE","1976240"
"YMR291W","Tda1p","PS00108","176","188","PROSITE","1976241"
"YMR291W","Tda1p","PS50011","39","351","PROSITE","1976242"
"YMR291W","Tda1p","PTHR24347","32","578","PANTHER","1976243"
"YMR291W","Tda1p","PTHR24347:SF261","32","578","PANTHER","1976244"
"YMR291W","Tda1p","SM00220","39","351","SMART","1976245"
"YMR291W","Tda1p","SSF56112","40","393","SUPERFAMILY","1976246"
"YMR292W","Got1p","PF04178","18","112","Pfam","1976247"
"YMR292W","Got1p","PTHR21493","12","125","PANTHER","1976248"
"YMR292W","Got1p","PTHR21493:SF180","12","125","PANTHER","1976249"
"YMR293C","Her2p","G3DSA:3.90.1300.10","4","464","GENE3D","1976250"
"YMR293C","Her2p","MF_00120","3","464","HAMAP","1976251"
"YMR293C","Her2p","PF01425","6","457","Pfam","1976252"
"YMR293C","Her2p","PS00571","128","159","PROSITE","1976253"
"YMR293C","Her2p","PTHR11895","9","462","PANTHER","1976254"
